geo,time,education,emp_high_tech,gdp,inv,migration,pop,pop_dens,tourists,unemp,wages
CZ03,2017,20.0,3.8,22800.0,4253.25,3.0,794.3,71.1,791811.0,2.1,8478.39
CZ03,2018,20.1,4.0,23700.0,4725.93,4.8,789.7,71.4,949724.0,1.5,9430.26
CZ03,2019,20.3,3.8,24500.0,5276.67,6.3,787.4,71.8,951241.0,1.5,10148.62
CZ04,2014,14.3,2.3,16700.0,3297.5,-1.1,761.4,132.7,666072.0,8.7,4968.51
CZ04,2015,13.4,2.2,17600.0,3478.54,-1.0,751.4,132.4,703610.0,7.3,5268.45
CZ04,2016,14.2,2.0,17600.0,3500.07,-1.2,743.0,132.1,767541.0,5.2,5652.18
CZ04,2017,14.3,1.8,18600.0,3899.04,0.0,733.7,131.9,861567.0,3.4,6313.99
CZ04,2018,13.9,2.3,19000.0,3824.19,0.8,726.5,131.7,899369.0,3.4,7062.23
CZ04,2019,15.2,2.0,20100.0,4072.07,1.5,720.8,131.7,940065.0,3.0,7631.28
CZ05,2014,17.9,4.4,18800.0,4234.2,0.0,1006.5,122.9,415615.0,6.3,7665.93
CZ05,2015,18.2,4.4,19600.0,4921.48,0.4,995.6,123.0,481487.0,5.2,8177.39
CZ05,2016,18.9,4.2,20300.0,4564.73,0.3,986.1,123.1,502595.0,4.0,8810.13
CZ05,2017,20.3,4.9,22000.0,5185.44,1.5,976.1,123.2,544232.0,2.8,9912.56
CZ05,2018,20.6,4.5,22800.0,5332.79,2.2,968.6,123.4,571667.0,2.0,11177.68
CZ05,2019,20.1,4.2,23800.0,5764.24,3.0,963.2,123.7,597981.0,1.7,12109.12
CZ06,2014,23.3,6.0,21100.0,5778.14,0.4,1128.9,122.6,580736.0,5.9,9731.91
CZ06,2015,24.3,5.3,22100.0,6156.46,0.5,1119.2,122.8,554308.0,4.9,10364.68
CZ06,2016,25.6,5.0,22400.0,6213.36,0.9,1110.6,123.0,614216.0,3.7,11166.97
CZ06,2017,25.5,4.6,23800.0,6508.32,1.8,1102.0,123.3,709743.0,3.1,12489.67
CZ06,2018,25.8,5.3,25100.0,7015.71,2.1,1095.5,123.6,765310.0,2.3,14066.32
CZ06,2019,26.0,5.1,26300.0,8291.35,2.3,1090.2,124.0,834037.0,1.9,15205.1
CZ07,2014,18.7,3.5,18800.0,3675.48,-0.9,822.1,134.0,206837.0,6.9,6107.68
CZ07,2015,20.1,3.7,19500.0,4003.12,-0.5,812.7,133.8,217913.0,5.3,6542.87
CZ07,2016,19.1,4.3,20200.0,3917.4,-1.2,805.0,133.6,232806.0,3.9,7033.29
CZ07,2017,19.7,3.8,21600.0,4190.31,-0.6,795.4,133.4,255682.0,3.3,7907.05
CZ07,2018,19.5,4.4,22400.0,4372.95,-0.3,787.0,133.3,266875.0,2.2,8875.97
CZ07,2019,20.0,3.9,23600.0,5104.29,0.2,779.4,133.2,272447.0,2.2,9512.66
CZ08,2014,16.7,3.4,19200.0,3498.8,-2.5,830.0,229.6,160275.0,8.6,6568.42
CZ08,2015,18.8,3.3,19900.0,4433.15,-2.2,818.9,228.9,180045.0,8.1,6910.55
CZ08,2016,19.8,3.2,20500.0,3681.96,-1.9,809.7,228.0,179041.0,6.9,7318.64
CZ08,2017,21.6,3.7,21600.0,4128.66,-2.1,799.1,227.3,191547.0,4.7,8049.38
CZ08,2018,21.1,4.1,22800.0,3900.57,-1.1,789.2,226.7,212622.0,3.7,9022.77
CZ08,2019,20.3,4.0,22800.0,4474.37,-0.9,781.0,226.2,216451.0,3.7,9603.86
DE11,2014,30.8,4.5,43800.0,38986.49,8.9,2625.3,378.0,1056920.0,3.1,97455.33
DE11,2015,32.4,4.4,45500.0,41365.58,15.4,2654.2,382.6,1167995.0,3.3,101896.83
DE11,2016,33.1,4.3,45600.0,42594.86,6.5,2708.7,387.1,1195794.0,3.3,106012.1
DE11,2017,32.6,4.5,47800.0,47168.86,6.6,2727.0,389.8,1259962.0,3.0,111193.24
DE11,2018,32.7,4.6,49600.0,51795.8,3.8,2729.1,392.0,1300370.0,2.3,115766.58
DE11,2019,34.3,4.6,48600.0,51926.43,2.3,2753.1,393.3,1324513.0,2.4,119182.04
DE12,2014,29.9,5.7,37500.0,20636.55,7.8,1796.6,392.1,1142278.0,3.5,58005.6
DE12,2015,31.2,5.7,38200.0,21643.78,16.2,1814.3,396.4,1197680.0,3.3,59879.69
